"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Department of Economic Affairs","Loans to General Financial and Trading Institutions","Total Loans to General Financial and Trading Institutions","20.68","40.74","40.74","40.74"
"Department of Economic Affairs","Loans to International Financial Institutions","Total Loans to International Financial Institutions","35.56","...","...","..."
"Department of Economic Affairs","Loans for  Other General Economic Services","Total Loans for  Other General Economic Services","...","...","...","..."
"Department of Economic Affairs","Technical and Economic Co-operation with Other Countries","Total Technical and Economic Co-operation with Other Countries","751.96","893.55","1257.99","871.13"
"Department of Economic Affairs","Advances to Foreign Governments","Total Advances to Foreign Governments","...","...","...","..."
"Department of Economic Affairs","Loans to Government Servants, etc.","Total Loans to Government Servants, etc.","63.9","-75","-50","-25"
"Department of Empowerment of Persons with Disabilities","Secretariat","Total Secretariat","21.93","28.67","27.16","29.86"
"Department of Empowerment of Persons with Disabilities","Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances","Total Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances","216.19","230","222.5","230"
"Department of Empowerment of Persons with Disabilities","Information and Mass Education Cell","Total Information and Mass Education Cell","14.81","28","7","..."
"Department of Empowerment of Persons with Disabilities","Deendayal Disabled Rehabilitation Scheme","Total Deendayal Disabled Rehabilitation Scheme","69.98","75","105","130"
"Department of Empowerment of Persons with Disabilities","Support to Establishment/Modernization/Capacity augmentation of Braille Presses","Total Support to Establishment/Modernization/Capacity augmentation of Braille Presses","4.68","8","3.6","..."
"Department of Empowerment of Persons with Disabilities","In-service training and sensitization, employment of physically challenged","Total In-service training and sensitization, employment of physically challenged","2.82","...","...","..."
"Department of Empowerment of Persons with Disabilities","Support of National Trust","Total Support of National Trust","16.23","20","20","39.5"
"Department of Empowerment of Persons with Disabilities","Setting up of State Spinal Injury Centre","Total Setting up of State Spinal Injury Centre","2.82","5","...","..."
"Department of Empowerment of Persons with Disabilities","Indian Spinal Injury Centre","Total Indian Spinal Injury Centre","...","4","2.6","4"
"Department of Empowerment of Persons with Disabilities","Research on disabiltiy related technology products and issues","Total Research on disabiltiy related technology products and issues","0.4","...","...","..."
"Department of Empowerment of Persons with Disabilities","Establishment of Colleges for Deaf","Total Establishment of Colleges for Deaf","1.5","3","...","..."
"Department of Empowerment of Persons with Disabilities","Scheme for implementation of Persons with Disability Act","Total Scheme for implementation of Persons with Disability Act","...","315","260","251.5"
"Department of Empowerment of Persons with Disabilities","Scholarship for Students with Disabilidties","Total Scholarship for Students with Disabilidties","108.22","125","108.67","125"
"Department of Empowerment of Persons with Disabilities","National University of Rehabilitation Science and Disabiltiy Studies","Total National University of Rehabilitation Science and Disabiltiy Studies","...","0.01","...","0.01"
"Department of Empowerment of Persons with Disabilities","Rehabilitation Council of India","Total Rehabilitation Council of India","4.72","5","5","5.5"
"Department of Empowerment of Persons with Disabilities","Indian Sign Language, Research and Training Centre","Total Indian Sign Language, Research and Training Centre","4.85","5","5","..."
"Department of Empowerment of Persons with Disabilities","Centre for Disability Sports","Total Centre for Disability Sports","...","17","17","100"
"Department of Empowerment of Persons with Disabilities","National Institute for Inclusive and Universal Design","Total National Institute for Inclusive and Universal Design","...","0.01","...","0.01"
"Department of Empowerment of Persons with Disabilities","National Institute of Mental Health Rehabilitation","Total National Institute of Mental Health Rehabilitation","0.55","20","20","..."
"Department of Empowerment of Persons with Disabilities","Support to National Institutes","Total Support to National Institutes","256.69","215","235.55","360"
"Department of Empowerment of Persons with Disabilities","National Handicapped Finance and Development Corporation","Total National Handicapped Finance and Development Corporation","20.75","41.21","0.92","0.01"
"Department of Empowerment of Persons with Disabilities","Artificial Limbs Manufacturing Corporation of India","Total Artificial Limbs Manufacturing Corporation of India","9.58","60","60","50"
"Department of Empowerment of Persons with Disabilities","Actual Recoveries","Total Actual Recoveries","-8.45","...","...","..."
"Department of Empowerment of Persons with Disabilities","Schemes for Differently Abled Persons","Schemes for implementation of Persons with Disability Act","260.84","...","...","..."
"Department of Empowerment of Persons with Disabilities","Social Security and Welfare","Total Social Security and Welfare","861.95","966.3","904.49","1126.79"
"Department of Empowerment of Persons with Disabilities","Secretariat-Social Services","Total Secretariat-Social Services","19.25","25","23.5","25"
"Department of Empowerment of Persons with Disabilities","Capital Outlay on Social Security and Welfare","Total Capital Outlay on Social Security and Welfare","20.75","37.73","0.92","0.01"
"Department of Empowerment of Persons with Disabilities","North Eastern Areas","Total North Eastern Areas","...","83.8","82.5","80"
"Department of Empowerment of Persons with Disabilities","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","107.14","88.56","88.56","93.56"
"Department of Empowerment of Persons with Disabilities","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","0.02","0.03","0.03","0.03"
"Department of Empowerment of Persons with Disabilities","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","3.48","...","..."
"Department of Expenditure","Secretariat  General Services","Total Secretariat  General Services","131","135.54","157.97","472.64"
"Department of Expenditure","Institute of Government Accounts and Finance","Total Institute of Government Accounts and Finance","6.11","7.46","9.79","8.2"
"Department of Expenditure","NSDL Charges for New Pension Scheme","Total NSDL Charges for New Pension Scheme","31.48","33","39.19","35.5"
"Department of Expenditure","Actual Recoveries","Total Actual Recoveries","-0.03","...","...","..."
"Department of Expenditure","Public Financial Management System (PFMS)","Total Public Financial Management System (PFMS)","107.46","210","263.24","..."
"Department of Expenditure","National Institute of Financial Management","Total National Institute of Financial Management","12.56","14.55","15.36","19.21"
"Department of Expenditure","Secretariat-General Services","Total Secretariat-General Services","130.99","135.54","157.97","472.64"
"Department of Expenditure","Other Administrative Services","Total Other Administrative Services","50.15","55.01","64.34","62.91"
"Department of Expenditure","Other General Economic Services","Total Other General Economic Services","107.44","210","263.24","..."
"Department of Fertilisers","Secretariat","Total Secretariat","35.23","38.94","37.09","35.94"
"Department of Fertilisers","Urea Subsidy","Payment for Indigenous Urea","32189.5","43050","43050","38375"
"Department of Fertilisers","Urea Subsidy","Payment for Import of Urea","17155.36","14049","14049","12050"
"Department of Fertilisers","Urea Subsidy","Direct Benefit Transfer(DBT) in Fertiliser Subsidy","6.97","10","10","10"
"Department of Fertilisers","Urea Subsidy","Recovery","-2837.38","-3480","-3480","-2630"
"Department of Fertilisers","Nutrient Based Subsidy","Payment for Indigenous P and K Fertilizers","14820.35","15906","15906","14179"
"Department of Fertilisers","Nutrient Based Subsidy","Payment for Imported P and K Fertilizers","9260","10429","10429","9296"
"Department of Fertilisers","Nutrient Based Subsidy","Payment for City Compost","10","32","33.85","29"
"Department of Fertilisers","Assistance to PSUs","Total Assistance to PSUs","...","0.06","0.06","0.06"
"Department of Fertilisers","Recovery","Total Recovery","-89.72","...","...","..."
"Department of Fertilisers","Crop Husbandry","Total Crop Husbandry","24081.68","26367","26368.85","23504"
"Department of Fertilisers","Industries","Total Industries","46433.4","53629","53629","47805"
"Department of Fertilisers","Secretariat-Economic Services","Total Secretariat-Economic Services","35.23","38.94","37.09","35.94"
"Department of Fertilisers","Other General Economic Services","Total Other General Economic Services","...","0.01","0.01","0.01"
"Department of Fertilisers","Loans for  Fertilizer Industries","Total Loans for  Fertilizer Industries","...","0.05","0.05","0.05"
"Department of Financial Services","Secretariat- General Services","Total Secretariat- General Services","56.29","64.93","68.15","69.99"
"Department of Financial Services","Direction and Administration","Office of Special Court","3.57","4.34","3.38","3.72"
"Department of Financial Services","Direction and Administration","Office of Custodian","7.08","9.69","8.36","10.23"
"Department of Financial Services","Direction and Administration","Debt Recovery Tribunals (DRTs)","109.04","125.04","129.25","142"
"Department of Financial Services","Direction and Administration","Office of Court Liquidator","0.16","0.11","0.16","0.13"
"Department of Financial Services","Recapitalization of Public Sector Banks","Total Recapitalization of Public Sector Banks","...","0.01","...","0.01"
"Department of Financial Services","Re-capitalization of Public Sector Banks (through Bonds)","Gross Budgetary Support","106000","70000","65443","0.01"
"Department of Financial Services","Re-capitalization of Public Sector Banks (through Bonds)","Less met through issue of Special Securities to PSBs","-106000","-70000","-65443","-0.01"
"Department of Financial Services","Recapitalization Bonds-Other than Public Sector Banks","Gross Budgetray Support(IDBI Bank Ltd.)","...","...","4557","..."
"Department of Financial Services","Recapitalization Bonds-Other than Public Sector Banks","Less met through issue of special securities","...","...","-4557","..."
"Department of Financial Services","Subscription to the Share Capital of Export-Import Bank of India","Total Subscription to the Share Capital of Export-Import Bank of India","500","950","950","1300"
"Department of Financial Services","Re-capitalization of EXIM Bank (through Bonds)","Gross Budgetary Support","4500","550","550","..."
"Department of Financial Services","Re-capitalization of EXIM Bank (through Bonds)","Less met through issue of Special Securities","-4500","-550","-550","..."
"Department of Financial Services","Re-capitalization of Insurance Companies","Transfer to National Investment Fund","...","...","...","6950"
"Department of Financial Services","Re-capitalization of Insurance Companies","Gross Budgetary Support","...","0.01","2500","6950"
"Department of Financial Services","Re-capitalization of Insurance Companies","Amount met from National Investment Fund","...","...","...","-6950"
"Department of Financial Services","Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)","Transfer to National Investment Fund","...","...","...","1000"
"Department of Financial Services","Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)","Gross Budgetary Support","2000","1500","1500","1000"
"Department of Financial Services","Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)","Amount met from National Investment Fund","...","...","...","-1000"
"Department of Financial Services","Recapitalization of Regional Rural Banks (RRBs)","Total Recapitalization of Regional Rural Banks (RRBs)","108","235","705","200.01"
"Department of Financial Services","Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank)","Total Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank)","...","0.01","0.01","0.01"
"Department of Financial Services","Equity support to India Infrastructure Finance Company Limited (IIFCL)","Total Equity support to India Infrastructure Finance Company Limited (IIFCL)","100","500","500","..."
"Department of Financial Services","Equity support to IIFCL(through bonds)","Gross Budgetray Support","...","...","5300","10000"
"Department of Financial Services","Equity support to IIFCL(through bonds)","Less met through issue of securities","...","...","-5300","-10000"
"Department of Financial Services","Equity Support to Industrial Finance Corporation of India (IFCI)","Total Equity Support to Industrial Finance Corporation of India (IFCI)","...","200","200","200"
"Department of Financial Services","Grants to ICICI Bank for Externally Aided Components","Total Grants to ICICI Bank for Externally Aided Components","...","0.01","...","0.01"
"Department of Financial Services","Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System","Total Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System","20","20","20","20"
"Department of Financial Services","Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI","Total Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI","0.85","0.86","0.86","0.86"
"Department of Financial Services","Subsidy to National Housing Bank for Interest Subvention on Housing Loans","Total Subsidy to National Housing Bank for Interest Subvention on Housing Loans","...","0.01","...","0.01"
"Department of Financial Services","World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India","Total World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India","93.19","0.01","...","0.01"
"Department of Financial Services","Redemption of Securities issued to Stressed Assets Stablization Fund (SASF)","Gross Budgetary Support","110","0.01","300","0.01"
"Department of Financial Services","Redemption of Securities issued to Stressed Assets Stablization Fund (SASF)","Less - Realisation of Stressed Assets Stabilization Fund","-110","-0.01","-300","-0.01"
"Department of Financial Services","Acquisition Cost of Reserve Bank of India's stake in NABARD","Total Acquisition Cost of Reserve Bank of India's stake in NABARD","20","...","...","..."
"Department of Financial Services","Acquisition Cost of Reserve Bank of India's stake in National Housing Bank (NHB)","Total Acquisition Cost of Reserve Bank of India's stake in National Housing Bank (NHB)","1450","...","...","..."
"Department of Financial Services","Support to Pradhan Mantri Jan Dhan Bima Yojana (PMJDBY)","Total Support to Pradhan Mantri Jan Dhan Bima Yojana (PMJDBY)","...","0.01","...","0.01"
"Department of Financial Services","Government Co-contribution to NPS under Swavalamban Scheme","Total Government Co-contribution to NPS under Swavalamban Scheme","...","...","...","..."
"Department of Financial Services","Government Co-contribution to Atal Pension Yojana","Total Government Co-contribution to Atal Pension Yojana","155","205","339.94","299"
"Department of Financial Services","Interest Subsidy to LIC for Pension Plan for Senior Citizens","Total Interest Subsidy to LIC for Pension Plan for Senior Citizens","170.64","160","117.01","115.1"
"Department of Financial Services","Pradhan Mantri Jeevan Jyoti Bima Yojna and Pradhan Mantri Suraksha Bima Yojna (Publicity and Awareness)","Total Pradhan Mantri Jeevan Jyoti Bima Yojna and Pradhan Mantri Suraksha Bima Yojna (Publicity and Awareness)","5","10","5","10"
"Department of Financial Services","Pradhan Mantri Vaya Vandan Yojana (PMVVY)","Total Pradhan Mantri Vaya Vandan Yojana (PMVVY)","152.17","176.9","148.07","180"
"Department of Financial Services","Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC)","Total Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC)","500","500","500","500"
"Department of Financial Services","Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.","Total Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.","9.98","10","10","10"
"Department of Financial Services","Stand-Up India (through NCGTC)","Total Stand-Up India (through NCGTC)","...","0.01","0.01","100"
"Department of Financial Services","Publicity and awareness for Stand-Up India and other initiatives by SIDBI","Total Publicity and awareness for Stand-Up India and other initiatives by SIDBI","5","5","5","5"
"Department of Financial Services","Credit Guarantee Fund for Factoring (through NCGTC)","Total Credit Guarantee Fund for Factoring (through NCGTC)","...","0.01","...","0.01"
"Department of Financial Services","Pension Fund Regulatory and Development Authority (PFRDA)","Total Pension Fund Regulatory and Development Authority (PFRDA)","12.6","13.23","23.8","8.89"
"Department of Financial Services","Other Fiscal Services","Total Other Fiscal Services","10.65","14.03","11.74","13.95"
"Department of Financial Services","Secretariat-General Services","Total Secretariat-General Services","56.29","64.93","68.15","69.99"
"Department of Financial Services","Other Administrative Services","Total Other Administrative Services","121.64","138.27","153.05","150.89"
"Department of Financial Services","Social Security and Welfare","Total Social Security and Welfare","482.81","551.91","610.02","604.11"
"Department of Financial Services","Agricultural Financial Institutions","Total Agricultural Financial Institutions","20.85","20.86","20.86","20.86"
"Department of Financial Services","Other Outlays on Industries and Minerals","Total Other Outlays on Industries and Minerals","...","0.02","...","0.02"
"Department of Financial Services","General Financial and Trading Institutions","Total General Financial and Trading Institutions","514.98","515.02","515.01","615.01"
"Department of Financial Services","Other General Economic Services","Total Other General Economic Services","0.16","0.11","0.16","0.13"
"Department of Financial Services","Investments in Agricultural Financial Institutions","Total Investments in Agricultural Financial Institutions","2108","1735","2205","1200.01"
"Department of Financial Services","Other Capital Outlay on Industries and Minerals","Total Other Capital Outlay on Industries and Minerals","600","1650","1650","1500"
"Department of Financial Services","Investments in General Financial and Trading Institutions","Total Investments in General Financial and Trading Institutions","1470","0.03","2500.01","6950.02"
"Department of Financial Services","Other Loans to Industries and Minerals","Total Other Loans to Industries and Minerals","93.19","0.01","...","0.01"
"Department of Fisheries","Secretariat","Establishment Expenditure","...","17.8","17.8","21.8"
"Department of Fisheries","Secretariat","International Cooperation","...","2.2","2.2","2.2"
"Department of Fisheries","Fisheries Institute","Total Fisheries Institute","...","139.5","139.5","149"
"Department of Fisheries","Coastal Aquaculture Authority","Total Coastal Aquaculture Authority","...","4.5","4.5","4.5"
"Department of Fisheries","National Fisheries Development Board","Total National Fisheries Development Board","...","80.75","80.75","77.5"
"Department of Fisheries","Integrated Development and Management of Fisheries","Total Integrated Development and Management of Fisheries","...","550","450","560"
"Department of Fisheries","Fisheries and Aquaculture Infrastructure Development Fund","Total Fisheries and Aquaculture Infrastructure Development Fund","...","10","5.25","10"
"Department of Fisheries","Fisheries","Total Fisheries","...","249.69","212.46","218.4"
"Department of Fisheries","Secretariat-Economic Services","Total Secretariat-Economic Services","...","20","20","24"
"Department of Fisheries","Capital Outlay on Fisheries","Total Capital Outlay on Fisheries","...","14.17","14.17","19.16"
"Department of Fisheries","North Eastern Areas","Total North Eastern Areas","...","64","63.76","64.94"
"Department of Fisheries","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","...","445.14","377.11","451.5"
"Department of Fisheries","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","...","11.75","12.5","47"
"Department of Food and Public Distribution","Secretariat","Total Secretariat","61.89","66.51","69.89","71.46"
"Department of Food and Public Distribution","National Sugar Institue, Kanpur","Total National Sugar Institue, Kanpur","24.59","27.72","28.06","29.53"
"Department of Food and Public Distribution","Other Establishment Expenditure of Food, Storage and Warehousing","Total Other Establishment Expenditure of Food, Storage and Warehousing","17.63","20.67","18.52","20.16"
"Department of Food and Public Distribution","Central Vigilance Committee on Public Distribution System","Total Central Vigilance Committee on Public Distribution System","...","...","0.01","..."
"Department of Food and Public Distribution","Food Subsidy  to Food Corporation of India under National Food Security Act.","Total Food Subsidy  to Food Corporation of India under National Food Security Act.","70098","151000","75000","77982.54"
"Department of Food and Public Distribution","Food Subsidy for Decentralized Procurement of Foodgrains under NFSA","Total Food Subsidy for Decentralized Procurement of Foodgrains under NFSA","31029.49","33000","33508.35","37337.14"
"Department of Food and Public Distribution","Sugar Subsidy payable under Public Distribution System","Total Sugar Subsidy payable under Public Distribution System","199.51","220","180","250"
"Department of Food and Public Distribution","Ways and Means Advance to FCI","Ways and Means Advance to FCI","12000","50000","36000","50000"
"Department of Food and Public Distribution","Ways and Means Advance to FCI","Repayments of Ways and Means Advance by FCI","-12000","-50000","-36000","-50000"
"Department of Food and Public Distribution","Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA","Total Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA","3883.94","4102.21","1678.78","3982.54"
"Department of Food and Public Distribution","Scheme for Assistance to Sugar Mills for 2017-18 season","Total Scheme for Assistance to Sugar Mills for 2017-18 season","376.43","100","63","..."
"Department of Food and Public Distribution","Scheme for Assistance to Sugar Mills for 2018-19 season","Total Scheme for Assistance to Sugar Mills for 2018-19 season","...","1000","2000","200"
"Department of Food and Public Distribution","Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar","Total Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar","...","...","100","200"
"Department of Food and Public Distribution","Scheme for Creation and Maintenance of Buffer Stock of Sugar","Total Scheme for Creation and Maintenance of Buffer Stock of Sugar","200.23","350","450","..."
"Department of Food and Public Distribution","Scheme for Assistance to Sugar Mills for 2019-20 season","Total Scheme for Assistance to Sugar Mills for 2019-20 season","...","...","100","500"
"Department of Food and Public Distribution","Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity","Total Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity","...","100","50","50"
"Department of Food and Public Distribution","Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export","Total Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export","...","500","550","200"
"Department of Food and Public Distribution","Scheme for Extending Soft Loan to Sugar Mills","Total Scheme for Extending Soft Loan to Sugar Mills","...","200","100","120"
"Department of Food and Public Distribution","Re-imbursement of Internal Transport and Freight Charges to Sugar Factories on export shipment of Sugar and payment of other permissible claims","Total Re-imbursement of Internal Transport and Freight Charges to Sugar Factories on export shipment of Sugar and payment of other permissible claims","...","0.63","0.63","..."
"Department of Food and Public Distribution","Schemes for Development of Sugar Industries","Financial Assistance to Sugar Undertakings/Other Expenditure","24.62","21","21","22"
"Department of Food and Public Distribution","Schemes for Development of Sugar Industries","Scheme for Extending Financial Assistance to Sugar Undertakings, 2014","133.74","60","5","..."
"Department of Food and Public Distribution","Schemes for Development of Sugar Industries","Loans for Rehabilitation/ Modernization of Sugar Mills","50.13","75","10","20"
"Department of Food and Public Distribution","Schemes for Development of Sugar Industries","Loans to Sugar Mills for Cane Development","2.95","10","...","5"
"Department of Food and Public Distribution","Schemes for Development of Sugar Industries","Loans to Sugar Mills for Bagasse based Co-generation of Power Project","150","125","50","75"
"Department of Food and Public Distribution","Schemes for Development of Sugar Industries","Loans to Sugar Factories for production of Anhydrous Alcohol or Ethanol from Alcohol","81.87","60","135","50"
"Department of Food and Public Distribution","Strengthening of PDS Operations","Total Strengthening of PDS Operations","18.66","30","17","8.7"
"Department of Food and Public Distribution","Integrated Management of Public Distribution System","Total Integrated Management of Public Distribution System","25","50","25","25"
"Department of Food and Public Distribution","Storage and Godowns","Total Storage and Godowns","86.3","70","65","50"
"Department of Food and Public Distribution","Actual Recoveries","Total Actual Recoveries","-5.61","...","...","..."
"Department of Food and Public Distribution","Warehousing Development and Regulatory Authority","Total Warehousing Development and Regulatory Authority","7.61","8.4","13.55","16.36"
"Department of Food and Public Distribution","Hindustan Vegetable Oils Corporation Ltd.","Assistance to HVOC","574.31","0.6","0.6","..."
"Department of Food and Public Distribution","Hindustan Vegetable Oils Corporation Ltd.","Less Receipts","-463.31","...","...","..."
"Department of Food and Public Distribution","Investment in Equity Capital of Food Corporation of India","Total Investment in Equity Capital of Food Corporation of India","500","1000","1000","1000"
"Department of Food and Public Distribution","Fortification of Rice and its Distribution under Public Distribution System","Total Fortification of Rice and its Distribution under Public Distribution System","...","42.65","1","20"
"Department of Food and Public Distribution","Food Storage and Warehousing","Total Food Storage and Warehousing","106164.41","190776.49","113899.23","120935.26"
"Department of Food and Public Distribution","Secretariat-Economic Services","Total Secretariat-Economic Services","61.88","66.51","69.89","71.46"
"Department of Food and Public Distribution","Civil Supplies","Total Civil Supplies","...","...","0.01","..."
"Department of Food and Public Distribution","Capital Outlay on Food Storage and Warehousing","Total Capital Outlay on Food Storage and Warehousing","568.28","1011.12","1010.92","1022.02"
"Department of Food and Public Distribution","Loans for  Food, Storage and Warehousing","Total Loans for  Food, Storage and Warehousing","...","...","...","..."
"Department of Food and Public Distribution","Loans for  Consumer Industries","Total Loans for  Consumer Industries","284.95","270","195","150"
"Department of Food and Public Distribution","North Eastern Areas","Total North Eastern Areas","...","29.4","19.4","11.9"
"Department of Food and Public Distribution","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","-1.54","41.87","0.94","19.79"
"Department of Food and Public Distribution","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","45","45","25"
"Department of Health and Family Welfare","Secretariat","Total Secretariat","170.82","192.97","199.76","205"
"Department of Health and Family Welfare","Direction and Administration","Total Direction and Administration","54.52","64.71","67.62","61.62"
"Department of Health and Family Welfare","Central Government Health Scheme","Total Central Government Health Scheme","1223.9","1350","1400","1297.52"
"Department of Health and Family Welfare","Safdarjung Hospital and Vardhman Mahavir Medical College, New Delhi","Total Safdarjung Hospital and Vardhman Mahavir Medical College, New Delhi","1137.53","1211.5","1315.79","1318.86"
"Department of Health and Family Welfare","Dr. Ram Manohar Lohia Hospital and Dr. RML PGIMER, New Delhi","Total Dr. Ram Manohar Lohia Hospital and Dr. RML PGIMER, New Delhi","679.92","750","883.45","885.6"
"Department of Health and Family Welfare","Lady Hardinge Medical College and Smt. S.K. Hospitals","Total Lady Hardinge Medical College and Smt. S.K. Hospitals","411.03","475.1","500.29","502.44"
"Department of Health and Family Welfare","Kalawati Saran Children's Hospital, New Delhi","Total Kalawati Saran Children's Hospital, New Delhi","111.41","124.9","129.18","136.75"
"Department of Health and Family Welfare","Other Hospitals / Institutions","Total Other Hospitals / Institutions","700.32","958.75","893.46","811.42"
"Department of Health and Family Welfare","Pardhan Mantri Swasthya Suraksha Yojana","Support from  Gross Budgetary Support (GBS)","1.17","...","743.4","1620"
"Department of Health and Family Welfare","Pardhan Mantri Swasthya Suraksha Yojana","Support from National Investment Fund (NIF)","...","...","...","..."
"Department of Health and Family Welfare","Pardhan Mantri Swasthya Suraksha Yojana","Central Roads & Infrastructure Fund (CRIF)","3795.34","3370","3240","3000"
"Department of Health and Family Welfare","Pardhan Mantri Swasthya Suraksha Yojana","Repayment of Principal from HEFA Loan","...","550","600","1050"
"Department of Health and Family Welfare","Pardhan Mantri Swasthya Suraksha Yojana","Payment of Interest on HEFA Loan","...","80","150","350"
"Department of Health and Family Welfare","National AIDS and STD Control Programme","Total National AIDS and STD Control Programme","1803.2","2500","2956","2900"
"Department of Health and Family Welfare","Family Welfare Schemes","Total Family Welfare Schemes","490.05","700","514.15","600"
"Department of Health and Family Welfare","Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectoral co ordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance","Total Establishment and strengthening of NCDC Branches and Health Initiatives Inter Sectoral co ordination for preparation and control of Zoonotic Diseases and other neglected tropical diseases surveillance of Viral Hepatitis Anti Microbial Resistance","14.74","49","49","52"
"Department of Health and Family Welfare","National Pharmacovigilance Programme","Total National Pharmacovigilance Programme","10","12","8","10"
"Department of Health and Family Welfare","Development of Nursing Services","Total Development of Nursing Services","12.16","15","50.5","16"
"Department of Health and Family Welfare","Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services","Total Health Sector Disaster Preparedness and Response and Human Resources Development for Emergency Medical Services","62.95","130","117.28","130"
"Department of Health and Family Welfare","National Organ Transplant Programme","Total National Organ Transplant Programme","8.04","41","28.95","33"
"Department of Health and Family Welfare","Impacting Research Innovation and Technology (IMPRINT) Scheme","Total Impacting Research Innovation and Technology (IMPRINT) Scheme","...","3","7.98","..."
"Department of Health and Family Welfare","Food Safety and Standards Authority of India","Total Food Safety and Standards Authority of India","257.05","360","301.59","283.71"
"Department of Health and Family Welfare","Indian Pharmacopeia Commission","Total Indian Pharmacopeia Commission","35.44","32.1","24.85","21.85"
"Department of Health and Family Welfare","Medical Council of India","Total Medical Council of India","1","1","1","0.89"
"Department of Health and Family Welfare","Dental Council of India","Total Dental Council of India","0.3","0.4","0.4","0.38"
"Department of Health and Family Welfare","Pharmacy Council of India","Total Pharmacy Council of India","0.2","0.2","0.2","0.18"
"Department of Health and Family Welfare","Indian Nursing Council","Total Indian Nursing Council","0.2","0.22","0.21","0.19"
"Department of Health and Family Welfare","National Academy of Medical Sciences","Total National Academy of Medical Sciences","1.8","1.8","1.8","1.6"
"Department of Health and Family Welfare","National Board of Examinations","Total National Board of Examinations","...","0.01","0.01","0.01"
"Department of Health and Family Welfare","All Indian Institute of Medical Science","Support from Gross Budgetary Support (GBS)","3229","3211.66","3344.9","2135.95"
"Department of Health and Family Welfare","All Indian Institute of Medical Science","Support from National Investment Fund (NIF)","...","290.89","43","1256.91"
"Department of Health and Family Welfare","All Indian Institute of Medical Science","Payment of Interest on HEFA Loan","...","44.6","44.6","44.6"
"Department of Health and Family Welfare","All Indian Institute of Medical Science","Repayment of Principal from HEFA Loan","...","52.5","52.5","52.5"
"Department of Health and Family Welfare","Post Graduate Institute of Medical Education and Research, Chandigarh","Support from Gross Budgetary Support (GBS)","...","0.01","1760","51.53"
"Department of Health and Family Welfare","Post Graduate Institute of Medical Education and Research, Chandigarh","Support from National Investment Fund (NIF)","1475","1499.99","...","1375"
"Department of Health and Family Welfare","Jawaharlal Institute of Post Graduate Medical Education and Research, Puducherry","Support from Gross Budgetary Support (GBS)","...","0.01","1053.48","0.01"
"Department of Health and Family Welfare","Jawaharlal Institute of Post Graduate Medical Education and Research, Puducherry","Support from National Investment Fund (NIF)","831.28","1099.99","...","999.99"
"Department of Health and Family Welfare","National Institute of Mental Health and Neuro-Sciences, Bengaluru","Total National Institute of Mental Health and Neuro-Sciences, Bengaluru","411.83","450","453.41","434.43"
"Department of Health and Family Welfare","North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences, Shillong","Total North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences, Shillong","231.5","350","362","310.31"
